seed,method,n_train,accuracy,exploitation_rate,avg_reliability,avg_curl_ratio,avg_harmonic_ratio
42,reliability_score,2644,0.9451588502269289,0.129,0.9674249680715198,0.03257503192848022,1.2837077881540053e-29
43,raw,3000,0.923,0.065,0.8519468780419969,0.10675149492421082,0.04130162703379224
43,harmonic_only,2835,0.9287477954144621,0.074,0.8886495503336234,0.11135044966637657,4.68194219838078e-30
43,curl_only,2817,0.9389421370252041,0.07,0.9223652514302921,0.032919301415236385,0.044715447154471545
43,reliability_score,2652,0.947209653092006,0.065,0.9655397951142631,0.03446020488573681,5.069982404475257e-30
44,raw,3000,0.9263333333333333,0.078,0.8538203190596139,0.10461796809403862,0.041561712846347604
44,harmonic_only,2835,0.9333333333333333,0.115,0.8908453788874289,0.1091546211125712,1.1372147653345484e-29
44,curl_only,2823,0.9433227063407722,0.088,0.9223582766439911,0.032743764172335606,0.044897959183673466
44,reliability_score,2658,0.9510910458991723,0.117,0.9657169990503323,0.03428300094966762,1.2311351375846015e-29
45,raw,3000,0.9223333333333333,0.079,0.8433975432719151,0.11514517029592408,0.0414572864321608
